codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;codCultivo;estadoFisicoCultivo
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2022;A;13.0;12.5;255.75;20.46;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2022;B;20.0;19.0;247.0;13.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2023;A;13.0;12.8;256.0;20.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Lechuga;Lechuga;Transitorio;Hortalizas;Hortalizas de hoja;2023;B;10.0;10.0;200.0;20.0;Lactuca sativa;1051900;En fresco
15;Boyacá;15646;Samacá;Maíz amarillo tradicional;Maíz;Transitorio;Cereales;Cereales;2021;A;20.0;19.0;23.9110169491525;1.26;Zea mays;1010402;Grano seco
15;Boyacá;15646;Samacá;Maíz amarillo tradicional;Maíz;Transitorio;Cereales;Cereales;2021;B;190.0;185.0;62.0847457627119;0.34;Zea mays;1010402;Grano seco
15;Boyacá;15646;Samacá;Maíz amarillo tradicional;Maíz;Transitorio;Cereales;Cereales;2022;A;15.0;170.0;213.940677966102;1.26;Zea mays;1010402;Grano seco
15;Boyacá;15646;Samacá;Maíz amarillo tradicional;Maíz;Transitorio;Cereales;Cereales;2022;B;45.0;14.5;18.2478813559322;1.26;Zea mays;1010402;Grano seco
15;Boyacá;15646;Samacá;Maíz amarillo tradicional;Maíz;Transitorio;Cereales;Cereales;2023;A;30.0;42.0;46.9830508474576;1.12;Zea mays;1010402;Grano seco
15;Boyacá;15646;Samacá;Maíz amarillo tradicional;Maíz;Transitorio;Cereales;Cereales;2023;B;30.0;25.0;27.9661016949153;1.12;Zea mays;1010402;Grano seco
15;Boyacá;15646;Samacá;Maíz tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;114.0;106.0;127.2;1.2;Zea mays;1010497;En fresco
15;Boyacá;15646;Samacá;Maíz tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;230.0;210.0;294.0;1.4;Zea mays;1010497;En fresco
